"Country or Area","Year","Area","Sex","Age","Cause of death (WHO)","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Mexico","2017","Total","Male","10 - 14","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","10 - 14","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Mexico","2017","Total","Male","10 - 14","Malignant neoplasm of pancreas, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","10 - 14","Malignant neoplasm of trachea, bronchus and lung, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4",""
"Mexico","2017","Total","Male","10 - 14","Malignant neoplasm of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","10 - 14","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","191",""
"Mexico","2017","Total","Male","10 - 14","Disorders of the blood and blood-forming organs and certain disorders involving the immune mec ICD10","Data tabulated by year of registration","Final figure, complete","2020","40",""
"Mexico","2017","Total","Male","10 - 14","Anaemias, ICD10","Data tabulated by year of registration","Final figure, complete","2020","18",""
"Mexico","2017","Total","Male","10 - 14","Endocrine, nutritional and metabolic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","74",""
"Mexico","2017","Total","Male","10 - 14","Diabetes mellitus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","11",""
"Mexico","2017","Total","Male","10 - 14","Malnutrition, ICD10","Data tabulated by year of registration","Final figure, complete","2020","32",""
"Mexico","2017","Total","Male","10 - 14","Mental and behavioural disorders, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Mexico","2017","Total","Male","10 - 14","Diseases of the nervous system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","179",""
"Mexico","2017","Total","Male","10 - 14","Diseases of the circulatory system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","96",""
"Mexico","2017","Total","Male","10 - 14","Acute rheumatic fever and chronic rheumatic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Mexico","2017","Total","Male","10 - 14","Hypertensive diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Mexico","2017","Total","Male","10 - 14","Ischaemic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","10 - 14","Cerebrovascular diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","36",""
"Mexico","2017","Total","Male","10 - 14","Diseases of arteries, arterioles and capillaries, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Mexico","2017","Total","Male","10 - 14","Diseases of the respiratory  system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","78",""
"Mexico","2017","Total","Male","10 - 14","Influenza, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Mexico","2017","Total","Male","10 - 14","Pneumonia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","39",""
"Mexico","2017","Total","Male","10 - 14","Chronic lower respiratory diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","16",""
"Mexico","2017","Total","Male","10 - 14","Diseases of the digestive system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","69",""
"Mexico","2017","Total","Male","10 - 14","Gastric and duodenal ulcer, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Mexico","2017","Total","Male","10 - 14","Diseases of the liver, ICD10","Data tabulated by year of registration","Final figure, complete","2020","11",""
"Mexico","2017","Total","Male","10 - 14","Diseases of the musculoskeletal system and connective tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","7",""
"Mexico","2017","Total","Male","10 - 14","Diseases of the genitourinary system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","39",""
"Mexico","2017","Total","Male","10 - 14","Disorders of kidney and ureter, ICD10","Data tabulated by year of registration","Final figure, complete","2020","34",""
"Mexico","2017","Total","Male","10 - 14","Hyperplasia of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","10 - 14","Certain conditions originating in the perinatal period, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","10 - 14","Congenital malformations, deformations and chromosomal abnormalities , ICD10","Data tabulated by year of registration","Final figure, complete","2020","98",""
"Mexico","2017","Total","Male","10 - 14","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified, ICD10","Data tabulated by year of registration","Final figure, complete","2020","7",""
"Mexico","2017","Total","Male","10 - 14","All other diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Mexico","2017","Total","Male","10 - 14","External causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","811",""
"Mexico","2017","Total","Male","10 - 14","Accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","496",""
"Mexico","2017","Total","Male","10 - 14","Transport accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","246",""
"Mexico","2017","Total","Male","10 - 14","Falls, ICD10","Data tabulated by year of registration","Final figure, complete","2020","17",""
"Mexico","2017","Total","Male","10 - 14","Accidental drowning and submersion, ICD10","Data tabulated by year of registration","Final figure, complete","2020","70",""
"Mexico","2017","Total","Male","10 - 14","Exposure to smoke, fire and flames, ICD10","Data tabulated by year of registration","Final figure, complete","2020","13",""
"Mexico","2017","Total","Male","10 - 14","Accidental poisoning by and exposure to noxious substances, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4",""
"Mexico","2017","Total","Male","10 - 14","Intentional self-harm, ICD10","Data tabulated by year of registration","Final figure, complete","2020","115",""
"Mexico","2017","Total","Male","10 - 14","Assault, ICD10","Data tabulated by year of registration","Final figure, complete","2020","145",""
"Mexico","2017","Total","Male","10 - 14","All other external causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","55",""
"Mexico","2017","Total","Male","10 - 14","All causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1901",""
"Mexico","2017","Total","Male","15 - 19","Certain infectious and parasitic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","113",""
"Mexico","2017","Total","Male","15 - 19","Intestinal infectious diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","12",""
"Mexico","2017","Total","Male","15 - 19","Tuberculosis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","20",""
"Mexico","2017","Total","Male","15 - 19","Tetanus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","15 - 19","Diphtheria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","15 - 19","Whooping cough, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","15 - 19","Meningococcal infection, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","15 - 19","Septicaemia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","24",""
"Mexico","2017","Total","Male","15 - 19","Acute poliomyelitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","15 - 19","Measles, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","15 - 19","Viral hepatitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Mexico","2017","Total","Male","15 - 19","Human immunodeficiency virus [HIV] disease, ICD10","Data tabulated by year of registration","Final figure, complete","2020","31",""
"Mexico","2017","Total","Male","15 - 19","Malaria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","15 - 19","Neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","519",""
"Mexico","2017","Total","Male","15 - 19","Malignant neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","462",""
"Mexico","2017","Total","Male","15 - 19","Malignant neoplasm of lip, oral cavity and pharynx, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Mexico","2017","Total","Male","15 - 19","Malignant neoplasm of oesophagus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Mexico","2017","Total","Male","15 - 19","Malignant neoplasm of stomach, ICD10","Data tabulated by year of registration","Final figure, complete","2020","8",""
"Mexico","2017","Total","Male","15 - 19","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4",""
"Mexico","2017","Total","Male","15 - 19","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10","Data tabulated by year of registration","Final figure, complete","2020","5",""
"Mexico","2017","Total","Male","15 - 19","Malignant neoplasm of pancreas, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Mexico","2017","Total","Male","15 - 19","Malignant neoplasm of trachea, bronchus and lung, ICD10","Data tabulated by year of registration","Final figure, complete","2020","7",""
"Mexico","2017","Total","Male","15 - 19","Malignant neoplasm of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Mexico","2017","Total","Male","15 - 19","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","241",""
"Mexico","2017","Total","Male","15 - 19","Disorders of the blood and blood-forming organs and certain disorders involving the immune mec ICD10","Data tabulated by year of registration","Final figure, complete","2020","39",""
"Mexico","2017","Total","Male","15 - 19","Anaemias, ICD10","Data tabulated by year of registration","Final figure, complete","2020","18",""
"Mexico","2017","Total","Male","15 - 19","Endocrine, nutritional and metabolic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","92",""
"Mexico","2017","Total","Male","15 - 19","Diabetes mellitus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","37",""
"Mexico","2017","Total","Male","15 - 19","Malnutrition, ICD10","Data tabulated by year of registration","Final figure, complete","2020","33",""
"Mexico","2017","Total","Male","15 - 19","Mental and behavioural disorders, ICD10","Data tabulated by year of registration","Final figure, complete","2020","8",""
"Mexico","2017","Total","Male","15 - 19","Diseases of the nervous system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","333",""
"Mexico","2017","Total","Male","15 - 19","Diseases of the circulatory system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","272",""
"Mexico","2017","Total","Male","15 - 19","Acute rheumatic fever and chronic rheumatic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Mexico","2017","Total","Male","15 - 19","Hypertensive diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","31",""
"Mexico","2017","Total","Male","15 - 19","Ischaemic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","125",""
"Mexico","2017","Total","Male","15 - 19","Cerebrovascular diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","56",""
"Mexico","2017","Total","Male","15 - 19","Diseases of arteries, arterioles and capillaries, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4",""
"Mexico","2017","Total","Male","15 - 19","Diseases of the respiratory  system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","155",""
"Mexico","2017","Total","Male","15 - 19","Influenza, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Mexico","2017","Total","Male","15 - 19","Pneumonia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","81",""
"Mexico","2017","Total","Male","15 - 19","Chronic lower respiratory diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","31",""
"Mexico","2017","Total","Male","15 - 19","Diseases of the digestive system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","128",""
"Mexico","2017","Total","Male","15 - 19","Gastric and duodenal ulcer, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4",""
"Mexico","2017","Total","Male","15 - 19","Diseases of the liver, ICD10","Data tabulated by year of registration","Final figure, complete","2020","34",""
"Mexico","2017","Total","Male","15 - 19","Diseases of the musculoskeletal system and connective tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","18",""
"Mexico","2017","Total","Male","15 - 19","Diseases of the genitourinary system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","94",""
"Mexico","2017","Total","Male","15 - 19","Disorders of kidney and ureter, ICD10","Data tabulated by year of registration","Final figure, complete","2020","86",""
"Mexico","2017","Total","Male","15 - 19","Hyperplasia of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","15 - 19","Certain conditions originating in the perinatal period, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","15 - 19","Congenital malformations, deformations and chromosomal abnormalities , ICD10","Data tabulated by year of registration","Final figure, complete","2020","129",""
"Mexico","2017","Total","Male","15 - 19","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified, ICD10","Data tabulated by year of registration","Final figure, complete","2020","29",""
"Mexico","2017","Total","Male","15 - 19","All other diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","8",""
"Mexico","2017","Total","Male","15 - 19","External causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4744",""
"Mexico","2017","Total","Male","15 - 19","Accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1867",""
"Mexico","2017","Total","Male","15 - 19","Transport accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1186",""
"Mexico","2017","Total","Male","15 - 19","Falls, ICD10","Data tabulated by year of registration","Final figure, complete","2020","44",""
"Mexico","2017","Total","Male","15 - 19","Accidental drowning and submersion, ICD10","Data tabulated by year of registration","Final figure, complete","2020","183",""
"Mexico","2017","Total","Male","15 - 19","Exposure to smoke, fire and flames, ICD10","Data tabulated by year of registration","Final figure, complete","2020","20",""
"Mexico","2017","Total","Male","15 - 19","Accidental poisoning by and exposure to noxious substances, ICD10","Data tabulated by year of registration","Final figure, complete","2020","28",""
"Mexico","2017","Total","Male","15 - 19","Intentional self-harm, ICD10","Data tabulated by year of registration","Final figure, complete","2020","565",""
"Mexico","2017","Total","Male","15 - 19","Assault, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2056",""
"Mexico","2017","Total","Male","15 - 19","All other external causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","256",""
"Mexico","2017","Total","Male","15 - 19","All causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","6681",""
"Mexico","2017","Total","Male","20 - 24","Certain infectious and parasitic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","407",""
"Mexico","2017","Total","Male","20 - 24","Intestinal infectious diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","24",""
"Mexico","2017","Total","Male","20 - 24","Tuberculosis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","47",""
"Mexico","2017","Total","Male","20 - 24","Tetanus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","20 - 24","Diphtheria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","20 - 24","Whooping cough, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","20 - 24","Meningococcal infection, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","20 - 24","Septicaemia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","24",""
"Mexico","2017","Total","Male","20 - 24","Acute poliomyelitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","20 - 24","Measles, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","20 - 24","Viral hepatitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","9",""
"Mexico","2017","Total","Male","20 - 24","Human immunodeficiency virus [HIV] disease, ICD10","Data tabulated by year of registration","Final figure, complete","2020","276",""
"Mexico","2017","Total","Male","20 - 24","Malaria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","20 - 24","Neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","589",""
"Mexico","2017","Total","Male","20 - 24","Malignant neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","529",""
"Mexico","2017","Total","Male","20 - 24","Malignant neoplasm of lip, oral cavity and pharynx, ICD10","Data tabulated by year of registration","Final figure, complete","2020","5",""
"Mexico","2017","Total","Male","20 - 24","Malignant neoplasm of oesophagus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Mexico","2017","Total","Male","20 - 24","Malignant neoplasm of stomach, ICD10","Data tabulated by year of registration","Final figure, complete","2020","11",""
"Mexico","2017","Total","Male","20 - 24","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10","Data tabulated by year of registration","Final figure, complete","2020","18",""
"Mexico","2017","Total","Male","20 - 24","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4",""
"Mexico","2017","Total","Male","20 - 24","Malignant neoplasm of pancreas, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Mexico","2017","Total","Male","20 - 24","Malignant neoplasm of trachea, bronchus and lung, ICD10","Data tabulated by year of registration","Final figure, complete","2020","14",""
"Mexico","2017","Total","Male","20 - 24","Malignant neoplasm of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Mexico","2017","Total","Male","20 - 24","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","201",""
"Mexico","2017","Total","Male","20 - 24","Disorders of the blood and blood-forming organs and certain disorders involving the immune mec ICD10","Data tabulated by year of registration","Final figure, complete","2020","45",""
"Mexico","2017","Total","Male","20 - 24","Anaemias, ICD10","Data tabulated by year of registration","Final figure, complete","2020","23",""
"Mexico","2017","Total","Male","20 - 24","Endocrine, nutritional and metabolic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","178",""
"Mexico","2017","Total","Male","20 - 24","Diabetes mellitus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","92",""
"Mexico","2017","Total","Male","20 - 24","Malnutrition, ICD10","Data tabulated by year of registration","Final figure, complete","2020","24",""
"Mexico","2017","Total","Male","20 - 24","Mental and behavioural disorders, ICD10","Data tabulated by year of registration","Final figure, complete","2020","46",""
"Mexico","2017","Total","Male","20 - 24","Diseases of the nervous system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","287",""
"Mexico","2017","Total","Male","20 - 24","Diseases of the circulatory system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","546",""
"Mexico","2017","Total","Male","20 - 24","Acute rheumatic fever and chronic rheumatic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","5",""
"Mexico","2017","Total","Male","20 - 24","Hypertensive diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","95",""
"Mexico","2017","Total","Male","20 - 24","Ischaemic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","267",""
"Mexico","2017","Total","Male","20 - 24","Cerebrovascular diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","87",""
"Mexico","2017","Total","Male","20 - 24","Diseases of arteries, arterioles and capillaries, ICD10","Data tabulated by year of registration","Final figure, complete","2020","8",""
"Mexico","2017","Total","Male","20 - 24","Diseases of the respiratory  system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","223",""
"Mexico","2017","Total","Male","20 - 24","Influenza, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","20 - 24","Pneumonia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","125",""
"Mexico","2017","Total","Male","20 - 24","Chronic lower respiratory diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","32",""
"Mexico","2017","Total","Male","20 - 24","Diseases of the digestive system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","276",""
"Mexico","2017","Total","Male","20 - 24","Gastric and duodenal ulcer, ICD10","Data tabulated by year of registration","Final figure, complete","2020","7",""
"Mexico","2017","Total","Male","20 - 24","Diseases of the liver, ICD10","Data tabulated by year of registration","Final figure, complete","2020","136",""
"Mexico","2017","Total","Male","20 - 24","Diseases of the musculoskeletal system and connective tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","15",""
"Mexico","2017","Total","Male","20 - 24","Diseases of the genitourinary system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","241",""
"Mexico","2017","Total","Male","20 - 24","Disorders of kidney and ureter, ICD10","Data tabulated by year of registration","Final figure, complete","2020","231",""
"Mexico","2017","Total","Male","20 - 24","Hyperplasia of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","20 - 24","Certain conditions originating in the perinatal period, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","20 - 24","Congenital malformations, deformations and chromosomal abnormalities , ICD10","Data tabulated by year of registration","Final figure, complete","2020","134",""
"Mexico","2017","Total","Male","20 - 24","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified, ICD10","Data tabulated by year of registration","Final figure, complete","2020","48",""
"Mexico","2017","Total","Male","20 - 24","All other diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","6",""
"Mexico","2017","Total","Male","20 - 24","External causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","8093",""
"Mexico","2017","Total","Male","20 - 24","Accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2777",""
"Mexico","2017","Total","Male","20 - 24","Transport accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1775",""
"Mexico","2017","Total","Male","20 - 24","Falls, ICD10","Data tabulated by year of registration","Final figure, complete","2020","71",""
"Mexico","2017","Total","Male","20 - 24","Accidental drowning and submersion, ICD10","Data tabulated by year of registration","Final figure, complete","2020","204",""
"Mexico","2017","Total","Male","20 - 24","Exposure to smoke, fire and flames, ICD10","Data tabulated by year of registration","Final figure, complete","2020","22",""
"Mexico","2017","Total","Male","20 - 24","Accidental poisoning by and exposure to noxious substances, ICD10","Data tabulated by year of registration","Final figure, complete","2020","58",""
"Mexico","2017","Total","Male","20 - 24","Intentional self-harm, ICD10","Data tabulated by year of registration","Final figure, complete","2020","830",""
"Mexico","2017","Total","Male","20 - 24","Assault, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4075",""
"Mexico","2017","Total","Male","20 - 24","All other external causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","411",""
"Mexico","2017","Total","Male","20 - 24","All causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","11134",""
"Mexico","2017","Total","Male","25 - 29","Certain infectious and parasitic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","718",""
"Mexico","2017","Total","Male","25 - 29","Intestinal infectious diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","21",""
"Mexico","2017","Total","Male","25 - 29","Tuberculosis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","66",""
"Mexico","2017","Total","Male","25 - 29","Tetanus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","25 - 29","Diphtheria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","25 - 29","Whooping cough, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","25 - 29","Meningococcal infection, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","25 - 29","Septicaemia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","22",""
"Mexico","2017","Total","Male","25 - 29","Acute poliomyelitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","25 - 29","Measles, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","25 - 29","Viral hepatitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","6",""
"Mexico","2017","Total","Male","25 - 29","Human immunodeficiency virus [HIV] disease, ICD10","Data tabulated by year of registration","Final figure, complete","2020","572",""
"Mexico","2017","Total","Male","25 - 29","Malaria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Mexico","2017","Total","Male","25 - 29","Neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","645",""
"Mexico","2017","Total","Male","25 - 29","Malignant neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","584",""
"Mexico","2017","Total","Male","25 - 29","Malignant neoplasm of lip, oral cavity and pharynx, ICD10","Data tabulated by year of registration","Final figure, complete","2020","5",""
"Mexico","2017","Total","Male","25 - 29","Malignant neoplasm of oesophagus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Mexico","2017","Total","Male","25 - 29","Malignant neoplasm of stomach, ICD10","Data tabulated by year of registration","Final figure, complete","2020","38",""
"Mexico","2017","Total","Male","25 - 29","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10","Data tabulated by year of registration","Final figure, complete","2020","30",""
"Mexico","2017","Total","Male","25 - 29","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10","Data tabulated by year of registration","Final figure, complete","2020","11",""
"Mexico","2017","Total","Male","25 - 29","Malignant neoplasm of pancreas, ICD10","Data tabulated by year of registration","Final figure, complete","2020","7",""
"Mexico","2017","Total","Male","25 - 29","Malignant neoplasm of trachea, bronchus and lung, ICD10","Data tabulated by year of registration","Final figure, complete","2020","13",""
"Mexico","2017","Total","Male","25 - 29","Malignant neoplasm of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Mexico","2017","Total","Male","25 - 29","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","173",""
"Mexico","2017","Total","Male","25 - 29","Disorders of the blood and blood-forming organs and certain disorders involving the immune mec ICD10","Data tabulated by year of registration","Final figure, complete","2020","58",""
"Mexico","2017","Total","Male","25 - 29","Anaemias, ICD10","Data tabulated by year of registration","Final figure, complete","2020","34",""
"Mexico","2017","Total","Male","25 - 29","Endocrine, nutritional and metabolic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","304",""
"Mexico","2017","Total","Male","25 - 29","Diabetes mellitus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","184",""
"Mexico","2017","Total","Male","25 - 29","Malnutrition, ICD10","Data tabulated by year of registration","Final figure, complete","2020","30",""
"Mexico","2017","Total","Male","25 - 29","Mental and behavioural disorders, ICD10","Data tabulated by year of registration","Final figure, complete","2020","92",""
"Mexico","2017","Total","Male","25 - 29","Diseases of the nervous system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","257",""
"Mexico","2017","Total","Male","25 - 29","Diseases of the circulatory system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","819",""
"Mexico","2017","Total","Male","25 - 29","Acute rheumatic fever and chronic rheumatic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","10",""
"Mexico","2017","Total","Male","25 - 29","Hypertensive diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","133",""
"Mexico","2017","Total","Male","25 - 29","Ischaemic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","433",""
"Mexico","2017","Total","Male","25 - 29","Cerebrovascular diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","118",""
"Mexico","2017","Total","Male","25 - 29","Diseases of arteries, arterioles and capillaries, ICD10","Data tabulated by year of registration","Final figure, complete","2020","11",""
"Mexico","2017","Total","Male","25 - 29","Diseases of the respiratory  system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","336",""
"Mexico","2017","Total","Male","25 - 29","Influenza, ICD10","Data tabulated by year of registration","Final figure, complete","2020","6",""
